compound_stem,SMILES,compound_name,pubchem_cid,kegg_kid,classifier_target,similar_to
K91065602,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)c(Cl)c2,VANCOMYCIN,14969,D00212,cell wall (no PDIM),NA
K32842773,Nc1nc(=O)c2c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)c[nH]c2[nH]1,Pemetrexed,446556,D03828,dihydrofolate reductase,NA
K32273377,Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,sulfadiazine,5215,D00433,dihydropteroate synthase,NA
K71125014,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,sulfadimethoxine,5323,D01142,dihydropteroate synthase,NA
K55250441,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,SULFADOXINE,17134,D00580,dihydropteroate synthase,NA
K87492696,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,sulfameter,5326,D02517,dihydropteroate synthase,NA
K31682896,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,sulfamethizole,5328,D00870,dihydropteroate synthase,NA
K14705039,Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,sulfathiazole,5340,D01047,dihydropteroate synthase,NA
K28494619,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,sulfamethoxazole,5329,D00285,dihydropteroate synthase,NA
K14116214,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,sulfamonomethoxine,5332,D01141,dihydropteroate synthase,NA
K93524252,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,sulfamerazine,5325,D02435,dihydropteroate synthase,NA
K50859149,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,sulfisoxazole,5344,D00450,dihydropteroate synthase,NA
A47790386,CNC1CCCN(C1)c1c(F)cc2c(c1OC)n(cc(C(O)=O)c2=O)C1CC1,Balofloxacin,65958,D02463,DNA gyrase,NA
K10196357,N[C@@H]1CCCCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1,Besifloxacin,10178705,D08872,DNA gyrase,NA
A93964801,NC1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1,CLINAFLOXACIN,60063,D02539,DNA gyrase,NA
K45916615,CN1C[C@@H]2C[C@H]1CN2c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,Danofloxacin,71335,D03646,DNA gyrase,NA
K76534306,CCN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,Enrofloxacin,71188,D02473,DNA gyrase,NA
K61717546,CN1CCN(CC1)c1c(F)cc2c(c1F)n(CCF)cc(C(O)=O)c2=O,fleroxacin,3357,D01716,DNA gyrase,NA
A74980173,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,Gatifloxacin,5379,D00589,DNA gyrase,NA
K09471561,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,LEVOFLOXACIN,149096,D00588,DNA gyrase,NA
A75850590,CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,lomefloxacin,3948,D00873,DNA gyrase,NA
K66615216,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,moxifloxacin,152946,D00874,DNA gyrase,NA
A24397426,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,nadifloxacin,4410,D01147,DNA gyrase,NA
K11196887,CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1,norfloxacin,4539,D00210,DNA gyrase,NA
K55034111,CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1,Pefloxacin,51081,D02306,DNA gyrase,NA
K08525451,OC(=O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,Sarafloxacin,56208,D05802,DNA gyrase,NA
K31484631,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C,rifabutin (mycobutin),NA,NA,DNA-dependent RNA polymerase,NA
K28346421,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)c(\C=N\N4CCN(CC4)C4CCCC4)c(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C,rifapentine (priftin),NA,NA,DNA-dependent RNA polymerase,NA
K53484294,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c4nc5cc(C)ccn5c4c(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C,rifaximin (xifaxan),NA,NA,DNA-dependent RNA polymerase,NA
K35808565,COc1ccc(NC(=O)c2c(NC(=O)c3ccc(o3)[N+]([O-])=O)sc3CCCc23)cc1,AC1MGBT7,2958627,NA,DNA-dependent RNA polymerase,NA
K57196652,CC(C)N1CCc2c(C1)sc(NC(=O)c1nc3ccccc3s1)c2C(N)=O,BRD-K57196652-003-05-9,4625945,NA,DNA-dependent RNA polymerase,NA
A42383464,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,Actinomycin D,2019,D00214,DNA-dependent RNA polymerase,NA
A53037217,CC1COC2(CCN(CC2)c2nc(=O)c3cc(cc([N+]([O-])=O)c3s2)C(F)(F)F)O1,BTZ043,49769085,NA,DprE1,NA
K96471533,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+]([O-])=O,NITAZOXANIDE,41684,D02486,ETC,NA
A17655518,CC(C)Cc1ccc(cc1)C(C)C(O)=O,ibuprofen,3672,D00126,infB,NA
K59197931,COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O,NAPROXEN,156391,D00118,infB,NA
K87202646,NNC(=O)c1ccncc1,isoniazid,3767,D00346,inhA,NA
K92093830,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,doxorubicin,31703,D01275,intercalator,NA
K04548931,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,Epirubicin,41867,D02214,intercalator,NA
K69650333,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O,IDARUBICIN,42890,D01747,intercalator,NA
K56334280,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23,Amonafide,50515,D10090,intercalator,NA
K66788707,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Fludarabine,657237,D01907,nucleoside reductase,NA
K72093121,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Vidarabine,21704,D00406,nucleoside reductase,NA
K71106091,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,fludarabine phosphate,30751,D01907,nucleoside reductase,NA
K55044200,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,amoxicillin,33613,D00229,penicillin binding protein,NA
K68432770,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,ampicillin,6249,D00204,penicillin binding protein,NA
A66479836,CC(O)[C@@H]1[C@H]2[C@@H](C)C(SC3Cn4ncc[n+]4C3)=C(N2C1=O)C(O)=O,biapenem,46930985,NA,penicillin binding protein,NA
K20338176,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1,cefaclor,51039,D00256,penicillin binding protein,NA
K72167406,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/c3scnc3C)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)c1csc(N)n1,cefditoren pivoxil,NA,NA,penicillin binding protein,NA
K24871708,C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C2=O)C(O)=O,cefprozil,5281006,D00261,penicillin binding protein,NA
K90733503,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O)C(O)=O,cephalexin,27447,D00263,penicillin binding protein,NA
K37910175,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(Cn3ccc(=N)n3CCO)=C(N2C1=O)C(O)=O)c1csc(N)n1,cefoselis,9830520,D07646,penicillin binding protein,NA
A18115130,CC(O)C1C2C(C)C(SC3CNC(C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O,"Merrem, Meronem, Meropenem",3874387,D02222,penicillin binding protein,NA
K96786677,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1ccccc1,oxacillin,6196,D00929,penicillin binding protein,NA
K62607865,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c2csc(N)n2)C(=O)N1S(O)(=O)=O,aztreonam,NA,NA,penicillin binding protein,NA
K21017401,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(CSC(=O)c3ccco3)=C(N2C1=O)C(O)=O)c1csc(N)n1,Ceftiofur,6328657,D01682,penicillin binding protein (beta-lactamase resistant),NA
K28224173,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C,Tebipenem pivoxil,9892071,D09598,penicillin binding protein (beta-lactamase resistant),NA
K01244426,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1ccccc1Cl,cloxacillin,6098,D01249,penicillin binding protein (beta-lactamase resistant),NA
K18574842,CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,nafcillin,8982,D00928,penicillin binding protein (beta-lactamase resistant),NA
A36331462,COC[C@H](NC(=O)[C@H](COC)NC(=O)c1cnc(C)s1)C(=O)N[C@@H](Cc1ccccc1)C(=O)C1(C)CO1,Oprozomib (ONX 0912),17753743,NA,proteasome,NA
K88510285,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,Bortezomib,387447,D03150,proteasome,NA
M65097687,[Na].Nc1ccc(C(O)=O)c(O)c1,PAS,67372874,NA,thymidylate synthase,NA
K28667793,NC(=O)c1cnccn1,pyrazinamide,1046,D00144,trans-translation,NA
K56397775,CC(C)NC(=O)n1cc(F)c(=O)[nH]c1=O,"1(2H)-Pyrimidinecarboxamide, 5-fluoro-3,4-dihydro-N-(1-methylethyl)-2,4-dioxo-",151528,NA,NA,5-FU
K99383816,Fc1cn([C@H]2CCCO2)c(=O)[nH]c1=O,37076-68-9,288216,NA,NA,5-FU
A62036252,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)C(C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,83905-01-5,25235496,NA,NA,50S ribosome 23S rRNA translocation
K54556307,CC[C@H](CO)NCCN[C@H](CC)CO,"ethambutol-R,R",470071,NA,NA,arabinosyltransferase
K67264507,CCCCC1CCC(CC1)C(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,AC1MGPHM,2964643,NA,NA,dihydropteroate synthase
K26260697,CC(=O)N1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,N-acetyl ciprofloxacin,3684314,NA,NA,DNA gyrase
K47678712,CN(C)c1ccc(NC(=O)c2ccncc2)cc1,ST50940571,897219,NA,NA,inhA
K50585630,Cc1ccc(\C=N\NC(=O)c2ccncc2)o1,AC1NTYAN,5390726,NA,NA,inhA
K51997757,COc1cc(\C=N\NC(=O)c2ccncc2)ccc1OC(=O)c1cccc(F)c1,AC1NURL5,5510955,NA,NA,inhA
K80390541,O=C(N\N=C\C=C\c1ccccc1)c1ccncc1,AC1NVNP3,5539315,NA,NA,inhA
K30516678,CC(\C=C\C1=C(C)CCCC1(C)C)=N\NC(=O)c1ccncc1,MLS000711749,5750646,NA,NA,inhA
K38633957,[O-][N+](=O)c1ccc(\C=N\NC(=O)c2ccncc2)s1,NSC690248,5424902,NA,NA,inhA
K55128567,COc1ccccc1\C=C\C=N\NC(=O)c1ccncc1,ZINC02057352,5567509,NA,NA,inhA
K16675056,[O-][N+](=O)c1ccccc1\C=C\C=N\NC(=O)c1ccncc1,ZINC02233166,5592238,NA,NA,inhA
K16904384,Cc1ccc(\C=N\NC(=O)c2ccncc2)s1,NSC690249,5539246,NA,NA,inhA
K38402943,O=C(N\N=C\C=C\c1ccco1)c1ccncc1,ZINC02702665,5640924,NA,NA,inhA
K08753063,COc1ccc2oc(=O)c(cc2c1)C(\C)=N\NC(=O)c1ccncc1,ZINC04728933,5417575,NA,NA,inhA
K79612754,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12,inosine,6021,D00054,NA,nucleoside reductase
K78659596,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,MLN2238,25183872,NA,NA,proteasome
K27771035,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O,Clindamycin phosphate,443385,D01073,NA,NA
K51207550,CCc1cc(ccn1)C(S)=N,ethionamide,2761171,D00591,inhA,NA
K85307935,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,novobiocin,54675769,D01209,NA,NA
K58262659,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(F)c(=O)[nH]c1=O,doxifluridine,18343,D01309,NA,NA
K93139382,COC(=O)CSc1nc(N)c2c3CCCCc3sc2n1,ZINC00497831,658260,NA,NA,NA
K11943448,Cc1cc(\C=N\NC(=O)c2ccncc2)c(C)n1-c1ccccc1C,AC1NTZDP,5414799,NA,NA,NA
K19713516,CC(\C=C\c1cccc(c1)[N+]([O-])=O)=N/NC(=O)c1ccncc1,NA,NA,NA,NA,NA
K70359801,Cc1ccsc1\C=N\NC(=O)c1ccncc1,ZINC00255783,5404556,NA,NA,NA
K15707964,O=C(N\N=C\c1ccc(o1)-c1cccc([N+]([O-])=O)c1)c1ccncc1,ZINC00497750,5418123,NA,NA,NA
K60267961,O=C(N\N=C\c1cccc2nccnc12)c1ccncc1,ZINC05576980,5933134,NA,NA,NA
K10362825,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12,teniposide,452548,D02698,NA,NA
K61192372,CCCCCOC(=O)Nc1nc(=O)n(cc1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,CAPECITABINE,60953,D01223,NA,NA
K41260949,CCCC(CCC)C(O)=O,VALPROIC ACID,3121,D00399,NA,NA
K32247306,CCC1(C(=O)NCNC1=O)c1ccccc1,primidone,4909,D00474,NA,NA
K06033833,N[C@@H](CCCN=C(N)N)C(O)=O,L-arginine,6322,D01126,NA,NA
K14349461,Cc1ncc(CO)c(CO)c1O,pyridoxine,1054,D02179,NA,NA
K92760278,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,riboflavin,493570,D00050,NA,NA
A05515753,OC(=O)CSCC(=O)NC1CCSC1=O,Erdosteine,65632,D07383,NA,NA
K50071428,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,Abiraterone,132971,D09701,NA,NA
A25234499,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,aminoglutethimide,2145,D00574,NA,NA
K88789588,N#Cc1ccc(cc1)C(c1ccc(cc1)C#N)n1cncn1,letrozole,3902,D00964,NA,NA
K51040301,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,Cobicistat,25151504,D09881,NA,NA
K08832567,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1,naringenin,439246,NA,NA,NA
K02953697,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc2cc(O)c3C(=O)C[C@H](Oc3c2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,naringin,442428,NA,NA,NA
K53061490,OC(=O)\C=C\c1ccc(Cn2ccnc2)cc1,ozagrel,5282440,D01683,NA,NA
K59456551,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,methotrexate,126941,D00142,NA,NA
A74914197,Nc1nc(N)c2nc(CC(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1,Pralatrexate,148121,D05589,NA,NA
K07208025,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,trimethoprim,5578,D00145,NA,NA
A75919782,Nc1nc(=O)c2N(C=O)C(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNc2[nH]1,leucovorin,6006,D01211,NA,NA
K11640013,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,sulfamethazine,5327,D02436,NA,NA
K02594908,Nc1ccc(cc1)S(N)(=O)=O,sulfanilamide,5333,D08543,NA,NA
K41406082,Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,sulfapyridine,5336,D00448,NA,NA
K23204545,CS(=O)(=O)OCCCCOS(C)(=O)=O,busulfan,2478,D00248,NA,NA
K69172251,N[Pt](N)(Cl)Cl,cis-Diaminedichloroplatinum,2767,NA,NA,NA
A09722536,ClCCN(CCCl)P1(=O)NCCCO1,cyclophosphamide,2907,D00287,NA,NA
A67097164,ClCCNP1(=O)OCCCN1CCCl,ifosfamide,3690,D00343,NA,NA
K52020312,Cc1ncc(n1CCO)[N+]([O-])=O,metronidazole,4173,D00409,NA,NA
K94266545,Cn1c(COC(N)=O)ncc1[N+]([O-])=O,ronidazole,5094,D00409,NA,NA
